time_utc,satellite_1,satellite_2,distance_km
2025-04-06 03:39:28,DRAGON ENDURANCE 4,PROGRESS MS-30,0.0
2025-04-06 03:39:28,DRAGON ENDURANCE 4,PROGRESS MS-29,0.0
2025-04-06 03:39:28,DRAGON ENDURANCE 4,SOYUZ MS-26,0.0
2025-04-06 03:39:28,DRAGON ENDURANCE 4,ISS (NAUKA),0.0
2025-04-06 03:39:28,DRAGON ENDURANCE 4,ISS (ZARYA),0.0
2025-04-06 03:39:28,PROGRESS MS-30,PROGRESS MS-29,0.0
2025-04-06 03:39:28,PROGRESS MS-30,SOYUZ MS-26,0.0
2025-04-06 03:39:28,PROGRESS MS-30,ISS (NAUKA),0.0
2025-04-06 03:39:28,PROGRESS MS-30,ISS (ZARYA),0.0
2025-04-06 03:39:28,COSMOS 2582,COSMOS 2581,0.14059614210101606
2025-04-06 03:39:28,STARLINK-11442,STARLINK-11454,7.732420090683379
2025-04-06 03:39:28,SUPERVIEW NEO-2 04,SUPERVIEW NEO-2 03,0.8154307322824127
2025-04-06 03:39:28,PROGRESS MS-29,SOYUZ MS-26,0.0
2025-04-06 03:39:28,PROGRESS MS-29,ISS (NAUKA),0.0
2025-04-06 03:39:28,PROGRESS MS-29,ISS (ZARYA),0.0
2025-04-06 03:39:28,TIANZHOU 8,SZ-19,0.0
2025-04-06 03:39:28,TIANZHOU 8,CSS (MENGTIAN),0.0
2025-04-06 03:39:28,TIANZHOU 8,CSS (WENTIAN),0.0
2025-04-06 03:39:28,TIANZHOU 8,CSS (TIANHE-1),0.0
2025-04-06 03:39:28,SZ-19,CSS (MENGTIAN),0.0
2025-04-06 03:39:28,SZ-19,CSS (WENTIAN),0.0
2025-04-06 03:39:28,SZ-19,CSS (TIANHE-1),0.0
2025-04-06 03:39:28,SOYUZ MS-26,ISS (NAUKA),0.0
2025-04-06 03:39:28,SOYUZ MS-26,ISS (ZARYA),0.0
2025-04-06 03:39:28,UMBRA-10,UMBRA-09,7.372478362666223
2025-04-06 03:39:28,TIANHUI 5D,TIANHUI 5C,1.266509300564
2025-04-06 03:39:28,STARLINK-31451,STARLINK-31549,7.114121468330685
2025-04-06 03:39:28,TIANHUI 5B,TIANHUI 5A,1.1518958235163
2025-04-06 03:39:28,CSS (MENGTIAN),CSS (WENTIAN),0.0
2025-04-06 03:39:28,CSS (MENGTIAN),CSS (TIANHE-1),0.0
2025-04-06 03:39:28,CSS (WENTIAN),CSS (TIANHE-1),0.0
2025-04-06 03:39:28,TIANHUI 2-02B,TIANHUI 2-02A,0.5245026117622931
2025-04-06 03:39:28,ISS (NAUKA),ISS (ZARYA),0.0
2025-04-06 03:39:28,MEV-2,INTELSAT 1002,0.0
2025-04-06 03:39:28,MEV-1,INTELSAT 901,0.0
2025-04-06 03:39:28,TIANHUI 2-01B,TIANHUI 2-01A,1.089456125135658
2025-04-06 03:39:28,O3B FM19,O3B FM13,2.932508957460104
2025-04-06 03:39:28,TANDEM X,TERRA SAR X,0.3486424437867559
2025-04-06 03:49:28,DRAGON ENDURANCE 4,PROGRESS MS-30,0.0
2025-04-06 03:49:28,DRAGON ENDURANCE 4,PROGRESS MS-29,0.0
2025-04-06 03:49:28,DRAGON ENDURANCE 4,SOYUZ MS-26,0.0
2025-04-06 03:49:28,DRAGON ENDURANCE 4,ISS (NAUKA),0.0
2025-04-06 03:49:28,DRAGON ENDURANCE 4,ISS (ZARYA),0.0
